年月日,お引出し,お預入れ,お取り扱い内容,残高,メモ,ラベル
2024/2/19,,2,"普通預金利息",553085,"",
2024/2/15,,300000,"カード　(425)",553083,"",
2024/2/13,2847,,"ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ",253083,"",
2024/2/8,5000,,"ﾍﾟｲﾍﾟｲ",255930,"",
2024/2/6,65000,,"DF.AUｼﾞﾌﾞﾝ",260930,"",
2024/2/5,4000,,"ﾎﾝﾀﾞﾌｱｲﾅﾝｽ",325930,"",
2024/2/1,9000,,"ﾁﾕｳｵｳ ﾌﾄﾞｳｻﾝ",329930,"",
2024/1/31,12613,,"ドコモ携帯電話料",338930,"",
2024/1/31,10000,,"DF.ｳｴﾙｽﾅﾋﾞ",351543,"",
2024/1/31,,241820,"給料振込　ﾄｳﾖｳﾌﾞﾂｻﾝｺｳｷﾞﾖｳｶﾌﾞｼｷｶﾞｲｼﾔ",361543,"",
2024/1/29,4071,,"ｺｳﾄﾞｸﾘﾖｳ      ｾｲｷﾖｳ",119723,"",
2024/1/29,1140,,"SMBC(ｶﾝﾘﾋﾄｳ",123794,"",
2024/1/29,11000,,"ﾗｸﾃﾝｶ-ﾄﾞｻ-ﾋﾞｽ",124934,"",
2024/1/29,9871,,"ﾆﾎﾝ ｾｲﾒｲ ﾎｹﾝﾘﾖｳ",135934,"",
2024/1/26,162072,,"ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ",145805,"",
2024/1/10,3672,,"ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ",307877,"",
2024/1/9,65000,,"DF.AUｼﾞﾌﾞﾝ",311549,"",
2024/1/5,4000,,"ﾎﾝﾀﾞﾌｱｲﾅﾝｽ",376549,"",
2024/1/4,9000,,"ﾁﾕｳｵｳ ﾌﾄﾞｳｻﾝ",380549,"",
2024/1/4,12361,,"ドコモ携帯電話料",389549,"",
2024/1/4,10000,,"DF.ｳｴﾙｽﾅﾋﾞ",401910,"",
