transaction_date,withdrawal,deposit,description,balance,memo,label,transaction_type,counter_party,transaction_code
2024-02-19,,2,普通預金利息,553085,,,,,
2024-02-15,,300000,カード　(425),553083,,,,,
2024-02-13,2847,,ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ,253083,,,,,
2024-02-08,5000,,ﾍﾟｲﾍﾟｲ,255930,,,,,
2024-02-06,65000,,DF.AUｼﾞﾌﾞﾝ,260930,,,,,
2024-02-05,4000,,ﾎﾝﾀﾞﾌｱｲﾅﾝｽ,325930,,,,,
2024-02-01,9000,,ﾁﾕｳｵｳ ﾌﾄﾞｳｻﾝ,329930,,,,,
2024-01-31,12613,,ドコモ携帯電話料,338930,,,,,
2024-01-31,10000,,DF.ｳｴﾙｽﾅﾋﾞ,351543,,,,,
2024-01-31,,241820,給料振込　ﾄｳﾖｳﾌﾞﾂｻﾝｺｳｷﾞﾖｳｶﾌﾞｼｷｶﾞｲｼﾔ,361543,,,,,
2024-01-29,4071,,ｺｳﾄﾞｸﾘﾖｳ      ｾｲｷﾖｳ,119723,,,,,
2024-01-29,1140,,SMBC(ｶﾝﾘﾋﾄｳ,123794,,,,,
2024-01-29,11000,,ﾗｸﾃﾝｶ-ﾄﾞｻ-ﾋﾞｽ,124934,,,,,
2024-01-29,9871,,ﾆﾎﾝ ｾｲﾒｲ ﾎｹﾝﾘﾖｳ,135934,,,,,
2024-01-26,162072,,ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ,145805,,,,,
2024-01-10,3672,,ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ,307877,,,,,
2024-01-09,65000,,DF.AUｼﾞﾌﾞﾝ,311549,,,,,
2024-01-05,4000,,ﾎﾝﾀﾞﾌｱｲﾅﾝｽ,376549,,,,,
2024-01-04,9000,,ﾁﾕｳｵｳ ﾌﾄﾞｳｻﾝ,380549,,,,,
2024-01-04,12361,,ドコモ携帯電話料,389549,,,,,
2024-01-04,10000,,DF.ｳｴﾙｽﾅﾋﾞ,401910,,,,,
